<UNK>	<UNK>
In what layer of the skin does epidermolysis occur in Staphylococcal scalded skin syndrome?	Staphylococcal scalded skin syndrome is characterized by epidermolysis of the stratum granulosum.
What type of strains of S. aureus are responsible for causing Staphylococcal scalded skin syndrome?	Staphylococcal scalded skin syndrome is caused by exfoliative toxin-producing strains of S. aureus.
What type of agar will Staphylococcus aureus turn bright yellow?	Staphylococcus aureus will turn Mannitol agar bright yellow.
Besides newborns and children, what other population may be affected by Staphylococcal scalded skin syndrome?	Staphylococcal scalded skin syndrome is seen in adults with renal insufficiency, as well as newborns and children.
What are the treatment options for Staph septic joint?	The treatment options for Staph septic joint include nafcillin or vancomycin.
What is the usual cause of Staph food poisoning, such as in potato salad?	Staph food poisoning, such as in potato salad, is usually caused by inadequate refrigeration.
What is the purpose of standing up and performing the Valsalva maneuver in terms of cardiac physiology?	Standing up and performing the Valsalva maneuver are both used to decrease pre-load.
What is typically included in the standard workup for new-onset psychosis?	The standard workup for new-onset psychosis typically includes obtaining a urine toxicology screen.
How is the staging of a cancer typically determined?	The staging of a cancer is typically determined after final surgical resection of the tumor.
What are the typical symptoms of Lyme disease during Stage 1?	During Stage 1, Lyme disease commonly presents with flu-like symptoms.
Which stage of non-REM sleep is considered the deepest and is commonly referred to as "slow-wave" sleep?	Stage N3 of non-REM sleep is considered the deepest and is commonly referred to as "slow-wave" sleep.
Which stage of non-REM sleep is typically described as a deeper sleep state?	Stage N2 of non-REM sleep is typically described as a deeper sleep state.
Which stage of non-REM sleep is typically described as a lighter sleep state?	Stage N1 of non-REM sleep is typically described as a lighter sleep state.
What are the treatment options for Stage 3 Heart Failure?	The treatment options for Stage 3 Heart Failure include adding spironolactone or BiDil to the patient's medication regimen.
What is the recommended treatment for Stage 2 hypertension in terms of medication?	The recommended treatment for Stage 2 hypertension is to use two medications.
What is the recommended treatment for stable small bowel obstruction?	The recommended treatment for stable small bowel obstruction includes IV fluids and NG intubation for decompression.
What are the management strategies for stable and unstable atrial fibrillation?	Stable atrial fibrillation is managed with rate or rhythm control, while unstable atrial fibrillation is managed with cardioversion.
What are the typical characteristics of chest pain in stable angina?	Chest pain in stable angina typically lasts less than 20 minutes and can radiate to the left arm or jaw.
What are the typical ways that stable angina can be relieved?	Stable angina is often relieved by rest or with the use of nitroglycerin.
What is the typical cause of stable angina and what percentage of stenosis is commonly associated with it?	Stable angina is often due to atherosclerosis of the coronary arteries, with a commonly associated stenosis percentage of 70%.
What is the typical electrocardiogram (ECG) finding associated with stable angina?	Stable angina is typically associated with ST depression on an ECG.
What is the effect of St. John's wort on CYP-450?	St. John's wort is an inducer of CYP-450.
What condition is typically suggested by the presence of ST elevation?	The presence of ST elevation is typically suggestive of STEMI (ST-elevation myocardial infarction).
How long should a patient take SSRIs at full dose before considering a change in medication?	Patients should take SSRIs at full dose for 6 weeks before considering a change in medication.
What is the primary neurotransmitter whose pre-synaptic reuptake is inhibited by SSRIs?	The primary neurotransmitter whose pre-synaptic reuptake is inhibited by SSRIs is serotonin (5-HT).
What potential complication in newborns is associated with the use of SSRIs during pregnancy?	The use of SSRIs during pregnancy may cause persistent pulmonary hypertension in newborns.
What is a potential side effect of SSRIs in regards to weight?	A potential side effect of SSRIs is weight gain.
What types of sexual dysfunction can be caused by SSRIs?	SSRIs can cause sexual dysfunction, such as anorgasmia and decreased libido.
What condition is SSRIs effective in treating?	SSRIs are effective in treating bulimia.
What viral infection can lead to SSPE (subacute sclerosing panencephalitis) if contracted?	SSPE (subacute sclerosing panencephalitis) can be seen 5-15 years after infection with measles (rubeola).
What is the typical age range for women who present with squamous cell carcinoma?	Squamous cell carcinoma usually presents in women age >60.
Where is squamous cell carcinoma of the lung typically located?	Squamous cell carcinoma of the lung is centrally located.
What is the typical presentation of squamous cell carcinoma of the lung?	Squamous cell carcinoma of the lung commonly presents as a hilar mass arising from the bronchus.
What is a potential symptom of squamous cell carcinoma of the esophagus, related to the involvement of a specific nerve?	Squamous cell carcinoma of the esophagus may present with hoarseness due to involvement of the recurrent laryngeal nerve.
What is a potential symptom of squamous cell carcinoma of the esophagus, related to the involvement of the trachea?	Squamous cell carcinoma of the esophagus may present with cough due to tracheal involvement.
Which DNA viruses are associated with squamous cell carcinoma of the cervix, vulva, vagina, anus, and penis?	HPV 16, 18, 31, 33 are associated with squamous cell carcinoma of the cervix, vulva, vagina, anus, and penis.
What is a common presentation of squamous cell carcinoma of the bladder?	Squamous cell carcinoma of the bladder typically presents with painless hematuria.
What type of metaplasia is associated with the development of squamous cell carcinoma of the bladder?	Squamous cell carcinoma of the bladder arises in a background of squamous metaplasia.
Which part of the lip is most commonly affected by squamous cell carcinoma?	Squamous cell carcinoma is the most common malignancy of the lower lip.
What is the histological feature of squamous cell carcinoma characterized by invasive cords of squamous cells?	Squamous cell carcinoma is characterized histologically by invasive cords of squamous cells with keratin pearls.
What is the histological feature of squamous cell carcinoma characterized by the formation of a specific structure?	Squamous cell carcinoma is characterized histologically by the formation of keratin pearls.
